,제목,본문,댓글
0,제주도 바다뷰 풀빌라,저는 바다가 바로 앞에 있는 풀빌라만 찾아다니는 습관이 있습니다  바다가 보이지 않으면 풀빌라를 안가요 멀리 보이는 건 싫어합니다 이번에는 생긴지 오래되었는데 스사사에는 후기가 없는 풀빌라를 다녀오게 되어서 한번 적어봅니다아무래도 연식이 있다보니 수영장 올라가는 문 손잡이에 녹쓴 것 수세미대에 낀 얼룩 샤워 배수가 조금 더디게 되는 등의 단점이 있긴합니다저는 뷰만 신경쓰는 사람이라 이런 것들은 작은 단점 정도로 생각해서 이 숙소가 좋다고 추천하지만 이런 부분에 예민하신분은 피하시는게 좋을 것 같습니다 저는 이 숙소의 장점은 1바다가 바로 앞에 있다는 점 2숙소가 전체적으로 화이트톤에 청소도 관리도 깔끔하게 되어있다는 점 3수영장 청소도 바다 바로 앞임을 고려해봤을때 이정도면 훌륭하다는 점 4숙소 가구가 약간 동남아 여행 온 것 같은 느낌을 주는 점5 수건이 많다는 점 큰 빨래대 큰 냉장고가 있다는 점6 202호에 숙박창문앞에 야자수가 있다는 점입니다 단점은 위에 먼저 썼습니다수영장은 수심이 낮아서  어린아이들이 놀기 좋을 것 같습니다  사춘기 아이들은 사진 찍는 용으로만 이용하였습니다  리조트 아래에 해변이 꽤 괜찮습니다 그런데 서핑 강습을 하는 곳이더라구요 사람이 꽤 있었습니다 강습시간 이외에는 모래놀이 하긴 좋을 것 같습니다," 와…………. 맘에 드는 숙소였습니다. 호텔이랑 느낌은 다릅니다. 오 혹시 여기 ㅇㅇㄷㅅㅅ인가요…?! 맞습니다^^. ㅎㅎ 저는 일층에 묵었었는데, 1층도 좋았어요! 그래도 아직까지도 생각나는 펜션이에요..! 바다 산책길도 좋았구요^^ 맞아요^^ 바다산책길 넘 좋아서 한참 걷다 왔어요^^ 우앗 어디인가요.. 선셋 죽이네요… 맞습니다. 애월에 있는 선셋이 좋은 곳. 리조트 이름 다 나왔네요 애월the석양? 맞나요?? ㅅㅅ 위에 쓰셨어요 ㅋㅋ 실명거론 안되는줄 알았어요 ㅎㅎ 감사합니다 실명거론 안되는거죠? 오랜만에 써서 가물가물했네요. 보셨으니 지워요 이름이 궁금합니다~~^^ 초성으로 본문에 올렸습니다. 윗분 댓글보셔도 되실것 같아요 애월더선셋 카페도 있죠 ㅎㅎㅎ
갔을때 흐려서 선셋은 못봤지만 ㅠㅋㅋ 1층은 카페더라구요. 이용은 안해봤어요 애월더선셋 ㅡ가격 비싸지 않으면 가보고 싶네여~저두 애월이 다른 지역보다 정이 가더라구요 가격은 성수기엔 역시 성수기 요금인 듯요.  애월 바다가 예쁜 것 같아요 룸타입이 뭘까요?
풀 스파는 알겠는데 구조가 홈페이지에는 안보여서요 인피니티 였어요.  아래가 침실 위에가 수영장이요. 애월이군요 ㅎㅎㅎ 선셋이 예술인~~~카페도 너무 좋던데~~~ 방에서 하루종일 경치보니 좋더라구요^^ 화이트톤 바다보이는 풀빌라에 바로 애월더선셋이구나했어요ㅎㅎ 뷰가 참 이쁜동네죠 화이트톤에 선셋이 참 예쁘더라구요^^ 저랑 같은방이셨나봅니다 ㅋㅋㅋ 그러네요^^  날씨도 좋으셨네요^^"
1,당일치기 바다,남편이 계속 일이 있어오늘 드뎌 당일치기 바다에 왔어요 아야진비 온다고 했는데 다행히 안오네요시원하고 좋은데  전 솔직히 바다 안좋아해요 ㅜㅜ," 닉네임 확인 안했음 아침마담님인줄 알겠어요 찌찌뽕ㅋ 저도요ㅎ 저두요~다시 확인했어요ㅋㅋ ㅋㅋㅋ저만 그런게 아니었네요 다 같은 생각이군요 ㅎㅎ ㅋㅋㅋ 저두.... 저도저도요., ㅋ  
루피님이 좋아하시는줄 몰랐어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 넘 웃겨욬ㅋㅋㅋ ㅋㅋㅋㅋㅋㅋ 제가 잘못 한걸로요 ^^;; 아침마담님 글인줄 알았습니다 제목에 아침마다님 아님해야겠어요 ㅋㅋㅋㅋㅋㅋㅋ 울 시즈니따님🤭🤭🤭
잘해쪄욤♥️♥️♥️ 아이가 시즈니도 아시냐고 대박이라고 
종종 카페에 이런(?)분 계시다고 말한적 있거든요 ^^ 아다뿐이겠슴까🤭🤭🤭
서울페스타 보러 갔을 때,
저희 엔진들이 NCT 무대에선
엔진봉을 시즈니봉색상으로 바꿔서 흔들기도 했어요 ㅋ 
케이팝대통합하는 거, 좋아하는 할미 있다고 전해주세요🤣🤣🤣 해외 콘서트도 다니신다니까
대박 대박..을 외치는 ^^
그 생일버스 하면 알아요 ㅋㅋㅋㅋ 연말 시상식때 
따님 한번 접선해서 
#엔진예절 #시즈니예절 
찍어봐야겠어요😎 아침마담님인줄 알았는데 성훈이가 아니어서ㅋㅋ
 자세히보니 음 nct드림인가요?
아님어쩌지ㅠ 드림 맞다고합니다^^ 저기 바쁜 NCT는 왜 데려갔습니까?
저나 데려가시지 ㅋㅋㅋㅋ 바쁘지만 큰애가 데려왔슴다 당일치기바다,,,너무 부럽습니다
바다색 너무 이쁜데 당일치기 가능한 바다가 혹시 어딜까요? 아야진이라고 차가 안막혀 좋았습니다 ^^ 알려주셔서 감사합니다^^ 바다 날씨 좋네요~~저 잘생긴 아이들이 누군지 댓글보고 알았네요 ㅋㅋ 잼게 놀다오세요!! 잘 다셔왔습니다 ^^ 오잉? 루피님도 아이돌 좋아하셨던가? ㅋㅋㅋㅋ 누군지도 모릅니다..쿨럭 ^.^;;; 이 아이돌들 처음 봅니다.바다서 재밌게 놀다오세요~ 전 바닷물에 발도 안담궜습니다
살만 탄 ㅜㅜ 새벽에 출발하셨군요
코로나전에 여름마다 가던 아야진~
놀기 좋아요.
NCT. 데려가셔서 함께하시는중~~ 5시에 출발해야지 했는데
다행히 차가 안막혀 잘 다녀왔습니다^^ 바다색이 아주 고우네요 고와...!!!!!
그 근처 송지호만 갔는데 아야진 가봐야겠어요 ㅋㅋㅋ 근데 진짜 마담님 글인줄 알았어요 🤣🤣 여기 어린 아이들이 놀기 좋아요
난 다음에 송지호로 ^^ 헐... 아침마담님이 성후니 탈덕한줄 알고 깜놀  ㅋㅋㅋ 
모든 분들이 다 그렇게 느끼셨네요
시즈니 따님 화이팅!!!(갑자기?) ㅋㅋㅋㅋ 그니까요
제가 오해하게 했어요 ^^;; ㅋㅋㅋㅋ이 얼굴을 
탈덕할 순 없쒀욤‼️‼️‼️😍 그람유  그람유 ~~
 어머😳😳😳
프사가 우리 장남이네요‼️‼️‼️
엔진하세요🤣🤣🤣 엔진하세요..큰애한테 물어 봄..
너도 요즘 아이구나 해줬네요 ㅋㅋㅋ 마담님 미워~~
희승이 아니고 울정구기야요
긍대 아이랜드 1회때 희승이한테 다들 정국 닮았다고 하긴 했어요
사실 그래서 희승이를 응원하게 된거임 ㅋㅋ 꺄 대박🤭🤭🤭🤭🤭
이 사진은!! 닮아보여여😳😳😳♥️♥️♥️ 당일치기바다도 부럽고 아이돌도 잘생겼네요~아이돌잘몰라서 아들이신가?했어요~^^;;잘생겼어요~^^ 울 아들도 잘 컸으면 좋은데 ㅜㅜ 런쥔이랑 지성인가요
지성이가 저희 딸 최애랍니당 전 뉜지 모릅니다
그냥 올려봤습니다 ^^;; 저두 여기 너무좋아해요 네..어린 아이들이 놀기 좋더라구요 ^^ 바다색이 와~~
너무 예뻐요
좋은데 가셨군요"
2,거제 쪽빛 바다의 여름,," 거제도에서 휴가를 http://cafe.naver.com/happyparm/80449포로수용소 http://cafe.naver.com/happyparm/80373봄엔 남도여행...여수 통영 거제 http://cafe.naver.com/happyparm/68099거제도민의 노력  http://cafe.naver.com/happyparm/16483 거제도 볼거리가 있지요.
발품을 많이 팔아야 볼수 있는 곳이 거제예요.
가을에 바람에 언덕은 사람들 메어져요 원기회복하여 가봐야겠네요
듬성듬성 당일치기해서 본게 다네요 거제 좋은곳 많습니다..
시간을두고 천천히 보시면 좋아요~"
3,겨울바다에선 자고로 수영,내사리 이모삼촌들간만에 날씨가 좋아 엄빠랑 비치 놀러와쩌욤," 마루 안녕~~바람소리가 엄청나고 파도도 일케 높은데 마루는 거침없이 물속으로~~
마루 곱슬곱슬 털도 너무 이쁘구나😻 겨,,,, 겨,, 울인데도 첨벙첨벙😂
파도타고 수영해서 매번 놀랍니다 이야~~ 날씨 진짜 좋구나~속이다 시원한 이기분 ~~대.리.만.족송마루 오늘 신났네~~~ 해는 떴어도 겨울이라 추운데,,
마루는 생각이 다른가봅니다 ㅋ 와~ 바람 소리가 어마어마하네요!! 그래도 사진으로 보이는 풍경은 멋지네요~ 마루도 신나보이고^^ 바람도 파도도 쎄고, 
기온도 낮아서 추웠어요. 한분만빼고요 ㅋㅋㅋ겨울에도 수영하는 ㅋ 와~~~  정말 즐길줄아는 마루~
날씨 안가리는  물놀이 ㅋㅋㅋ
마루야~~  수영해서 구갈놀러와 ㅎㅎㅎㅎ 태평양건너 구갈 갈  작정이였나봅니다 ㅋㅋㅋ물냄새맡으면 눈돌아갑니다 ㅋㅋ 마루네 오랜만에 오셨네요..겨울바다 즐기는 마루.. 아주 멋져요.. 오랜만에 물또공또 신고하러 왔지요 ㅋㅋㅋ 아우~~~~ 풍경하고 마루하고 느므 멋집니당~^^ 멋진마루,  두시간놀고 모자랐는지 집에서도 또 공 물고왔어요ㅠ"
4,바다전망 대박 영종도 조개구이,지난 주말에 친구들과 더위를 식히고자 바다보러 영종도에 갔다가 소문 자자한 영종도 조개구이를 먹고 왔어요 퀄리티 훌륭한 조개구이와 랍스타에 신선한 해산물 향연이 매력인 곳인데 가격까지 부담없어서 공유해 볼게요, 조개구이에 칼국수까지 너무 맛나보이는 영종도 조개구이👍🏻👍🏻다음에 꼭 가봐야겠네요 ! 영종도 조개구이 멋진 바다뷰에 맛있는 음식들이 한가득~~넘 행복할것 같아요!! 영종도 조개구이 너무맛있어보이네요!! 싱싱해서 더맛있을거같아요!! 물회 양이 엄청 많네요 👍 조개구이도 너무 맛있어 보이고 영종도 조개구이 집 대박이에요ㅎㅎ 영종도 조개구이 맛집 음식 맛있어보이네요~나중에 방문해볼게요! 영종도 조개구이 너무 맛있어보이네요 ㅎㅎ 꼭 가보겠습니다 ㅎㅎ 영종도 조개구이 맛집 너무 맛있어보여요 ㅎㅎ 양도 많규 뷰도 좋고 ㅎㅎ 영종도 조개구이 너무 맛잇을 거같아요! 나중에 꼭 가봐야겠어요!
5,주말 한적한 강원도 바다,미개장한곳이라 그런지 사람도 별로 없고 한적하니애들 바다앞에서 모래놀이 하기 너무 좋네유날도덥지도않고ㅋㅋ흐리멍텅텅텅ㅋㅋㅋ덕분에 전 의자에 앉아 바다파도소리 들으며 멍커피한잔 하고 또 멍안전요원없구 샤워시설없구 암것도없지만ㅋㅋㅋ편의점도있고 식당도몇개있어서ㅋㅋ불편하진 않네요물은 좋아하는데 바다는 무서워하는 외갓집이 강원도인 우리애기들ㅜㅜㅋㅋㅋ모래놀이만 실컷하다 가야겠네요," 비 안오나봐요~휴가 끝나고 집에 가는중인데 원주쯤 비  많이 오네요 넵 아직비는안오는데 흐리멍텅해요 비가와서 더 막히는건아니신지ㅜㅜ조심히 도착하셔요:) 모래놀이 원없이 할 수 있어 좋겠어요~광영이 비가 부슬부슬 내리네요 엄마안찾아서 좋으네요ㅋㅋ헐 또비가오나요..증말 이번 여름은 비가 너무하네요ㅜㅜ 강원도 물에 들어가기 춥지는 않나요? ^^;; 저흰 휴가가 미뤄져서 아직도 못가서... 이러다가 애들 물에 한 번 못 들어가고 여름 끝나는건 아닌지 걱정이네요 ㅠㅠㅠ 다들 그래도 들어가있으면 미지근한지ㅋㅋ잘노시는것같아여ㅋㅋ 저희애들도..모래놀이만 하네여..ㅋㅋ 사람이 진짜 없네요..^^조심히 올라오세요.. 넵 강원도가시게되면 알려드릴께요 들려보셔요^^ 금진해변이신가봐여~~ 저 여기 연세얻어서 자주가욬ㅋㅋ 와우 어떻게 딱 아셨네요ㅋㅋㅋ우와 부러워요ㅜㅜ좋은데 잘얻으셨네요!! 이제 여기도 비가 막쏟아지네용ㅜㅜ 저 사진속에 연세멤버가 있는거같아요ㅋㅋㅋㅋㅋ 헉ㅋㅋㅋ서핑하시는분들중한분이신가보네요ㅋㅋㅋ순간 사람얼굴이 잘 보이는 사진이 있나 헉했네요ㅋㅋㅋ 아녀 수영복보고 알아챘어요 ㅋㅋㅋ 
진가락 맛있으니 꼭 드셔보세여~~ 항구마차, a3도 맛나구요^^ 오호!!!맛집감사해요♡♡♡ 얼마전에 삼척갔다왓는데 또 바다보니 가고 싶네요 요긴어딘가요? 윗분이 말씀하신곳이에요 금진해변이용 바다는 언제봐도 좋네요 한적해서 다음번 강원도여행시 참고해보셔요~^^"
6,제주도 바다뷰 풀빌라,저는 바다가 바로 앞에 있는 풀빌라만 찾아다니는 습관이 있습니다  바다가 보이지 않으면 풀빌라를 안가요 멀리 보이는 건 싫어합니다 이번에는 생긴지 오래되었는데 스사사에는 후기가 없는 풀빌라를 다녀오게 되어서 한번 적어봅니다아무래도 연식이 있다보니 수영장 올라가는 문 손잡이에 녹쓴 것 수세미대에 낀 얼룩 샤워 배수가 조금 더디게 되는 등의 단점이 있긴합니다저는 뷰만 신경쓰는 사람이라 이런 것들은 작은 단점 정도로 생각해서 이 숙소가 좋다고 추천하지만 이런 부분에 예민하신분은 피하시는게 좋을 것 같습니다 저는 이 숙소의 장점은 1바다가 바로 앞에 있다는 점 2숙소가 전체적으로 화이트톤에 청소도 관리도 깔끔하게 되어있다는 점 3수영장 청소도 바다 바로 앞임을 고려해봤을때 이정도면 훌륭하다는 점 4숙소 가구가 약간 동남아 여행 온 것 같은 느낌을 주는 점5 수건이 많다는 점 큰 빨래대 큰 냉장고가 있다는 점6 202호에 숙박창문앞에 야자수가 있다는 점입니다 단점은 위에 먼저 썼습니다수영장은 수심이 낮아서  어린아이들이 놀기 좋을 것 같습니다  사춘기 아이들은 사진 찍는 용으로만 이용하였습니다  리조트 아래에 해변이 꽤 괜찮습니다 그런데 서핑 강습을 하는 곳이더라구요 사람이 꽤 있었습니다 강습시간 이외에는 모래놀이 하긴 좋을 것 같습니다," 와…………. 맘에 드는 숙소였습니다. 호텔이랑 느낌은 다릅니다. 오 혹시 여기 ㅇㅇㄷㅅㅅ인가요…?! 맞습니다^^. ㅎㅎ 저는 일층에 묵었었는데, 1층도 좋았어요! 그래도 아직까지도 생각나는 펜션이에요..! 바다 산책길도 좋았구요^^ 맞아요^^ 바다산책길 넘 좋아서 한참 걷다 왔어요^^ 우앗 어디인가요.. 선셋 죽이네요… 맞습니다. 애월에 있는 선셋이 좋은 곳. 리조트 이름 다 나왔네요 애월the석양? 맞나요?? ㅅㅅ 위에 쓰셨어요 ㅋㅋ 실명거론 안되는줄 알았어요 ㅎㅎ 감사합니다 실명거론 안되는거죠? 오랜만에 써서 가물가물했네요. 보셨으니 지워요 이름이 궁금합니다~~^^ 초성으로 본문에 올렸습니다. 윗분 댓글보셔도 되실것 같아요 애월더선셋 카페도 있죠 ㅎㅎㅎ
갔을때 흐려서 선셋은 못봤지만 ㅠㅋㅋ 1층은 카페더라구요. 이용은 안해봤어요 애월더선셋 ㅡ가격 비싸지 않으면 가보고 싶네여~저두 애월이 다른 지역보다 정이 가더라구요 가격은 성수기엔 역시 성수기 요금인 듯요.  애월 바다가 예쁜 것 같아요 룸타입이 뭘까요?
풀 스파는 알겠는데 구조가 홈페이지에는 안보여서요 인피니티 였어요.  아래가 침실 위에가 수영장이요. 애월이군요 ㅎㅎㅎ 선셋이 예술인~~~카페도 너무 좋던데~~~ 방에서 하루종일 경치보니 좋더라구요^^ 화이트톤 바다보이는 풀빌라에 바로 애월더선셋이구나했어요ㅎㅎ 뷰가 참 이쁜동네죠 화이트톤에 선셋이 참 예쁘더라구요^^ 저랑 같은방이셨나봅니다 ㅋㅋㅋ 그러네요^^  날씨도 좋으셨네요^^"
7,당일치기 바다,남편이 계속 일이 있어오늘 드뎌 당일치기 바다에 왔어요 아야진비 온다고 했는데 다행히 안오네요시원하고 좋은데  전 솔직히 바다 안좋아해요 ㅜㅜ," 닉네임 확인 안했음 아침마담님인줄 알겠어요 찌찌뽕ㅋ 저도요ㅎ 저두요~다시 확인했어요ㅋㅋ ㅋㅋㅋ저만 그런게 아니었네요 다 같은 생각이군요 ㅎㅎ ㅋㅋㅋ 저두.... 저도저도요., ㅋ  
루피님이 좋아하시는줄 몰랐어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 넘 웃겨욬ㅋㅋㅋ ㅋㅋㅋㅋㅋㅋ 제가 잘못 한걸로요 ^^;; 아침마담님 글인줄 알았습니다 제목에 아침마다님 아님해야겠어요 ㅋㅋㅋㅋㅋㅋㅋ 울 시즈니따님🤭🤭🤭
잘해쪄욤♥️♥️♥️ 아이가 시즈니도 아시냐고 대박이라고 
종종 카페에 이런(?)분 계시다고 말한적 있거든요 ^^ 아다뿐이겠슴까🤭🤭🤭
서울페스타 보러 갔을 때,
저희 엔진들이 NCT 무대에선
엔진봉을 시즈니봉색상으로 바꿔서 흔들기도 했어요 ㅋ 
케이팝대통합하는 거, 좋아하는 할미 있다고 전해주세요🤣🤣🤣 해외 콘서트도 다니신다니까
대박 대박..을 외치는 ^^
그 생일버스 하면 알아요 ㅋㅋㅋㅋ 연말 시상식때 
따님 한번 접선해서 
#엔진예절 #시즈니예절 
찍어봐야겠어요😎 아침마담님인줄 알았는데 성훈이가 아니어서ㅋㅋ
 자세히보니 음 nct드림인가요?
아님어쩌지ㅠ 드림 맞다고합니다^^ 저기 바쁜 NCT는 왜 데려갔습니까?
저나 데려가시지 ㅋㅋㅋㅋ 바쁘지만 큰애가 데려왔슴다 당일치기바다,,,너무 부럽습니다
바다색 너무 이쁜데 당일치기 가능한 바다가 혹시 어딜까요? 아야진이라고 차가 안막혀 좋았습니다 ^^ 알려주셔서 감사합니다^^ 바다 날씨 좋네요~~저 잘생긴 아이들이 누군지 댓글보고 알았네요 ㅋㅋ 잼게 놀다오세요!! 잘 다셔왔습니다 ^^ 오잉? 루피님도 아이돌 좋아하셨던가? ㅋㅋㅋㅋ 누군지도 모릅니다..쿨럭 ^.^;;; 이 아이돌들 처음 봅니다.바다서 재밌게 놀다오세요~ 전 바닷물에 발도 안담궜습니다
살만 탄 ㅜㅜ 새벽에 출발하셨군요
코로나전에 여름마다 가던 아야진~
놀기 좋아요.
NCT. 데려가셔서 함께하시는중~~ 5시에 출발해야지 했는데
다행히 차가 안막혀 잘 다녀왔습니다^^ 바다색이 아주 고우네요 고와...!!!!!
그 근처 송지호만 갔는데 아야진 가봐야겠어요 ㅋㅋㅋ 근데 진짜 마담님 글인줄 알았어요 🤣🤣 여기 어린 아이들이 놀기 좋아요
난 다음에 송지호로 ^^ 헐... 아침마담님이 성후니 탈덕한줄 알고 깜놀  ㅋㅋㅋ 
모든 분들이 다 그렇게 느끼셨네요
시즈니 따님 화이팅!!!(갑자기?) ㅋㅋㅋㅋ 그니까요
제가 오해하게 했어요 ^^;; ㅋㅋㅋㅋ이 얼굴을 
탈덕할 순 없쒀욤‼️‼️‼️😍 그람유  그람유 ~~
 어머😳😳😳
프사가 우리 장남이네요‼️‼️‼️
엔진하세요🤣🤣🤣 엔진하세요..큰애한테 물어 봄..
너도 요즘 아이구나 해줬네요 ㅋㅋㅋ 마담님 미워~~
희승이 아니고 울정구기야요
긍대 아이랜드 1회때 희승이한테 다들 정국 닮았다고 하긴 했어요
사실 그래서 희승이를 응원하게 된거임 ㅋㅋ 꺄 대박🤭🤭🤭🤭🤭
이 사진은!! 닮아보여여😳😳😳♥️♥️♥️ 당일치기바다도 부럽고 아이돌도 잘생겼네요~아이돌잘몰라서 아들이신가?했어요~^^;;잘생겼어요~^^ 울 아들도 잘 컸으면 좋은데 ㅜㅜ 런쥔이랑 지성인가요
지성이가 저희 딸 최애랍니당 전 뉜지 모릅니다
그냥 올려봤습니다 ^^;; 저두 여기 너무좋아해요 네..어린 아이들이 놀기 좋더라구요 ^^ 바다색이 와~~
너무 예뻐요
좋은데 가셨군요"
8,거제 쪽빛 바다의 여름,," 거제도에서 휴가를 http://cafe.naver.com/happyparm/80449포로수용소 http://cafe.naver.com/happyparm/80373봄엔 남도여행...여수 통영 거제 http://cafe.naver.com/happyparm/68099거제도민의 노력  http://cafe.naver.com/happyparm/16483 거제도 볼거리가 있지요.
발품을 많이 팔아야 볼수 있는 곳이 거제예요.
가을에 바람에 언덕은 사람들 메어져요 원기회복하여 가봐야겠네요
듬성듬성 당일치기해서 본게 다네요 거제 좋은곳 많습니다..
시간을두고 천천히 보시면 좋아요~"
9,겨울바다에선 자고로 수영,내사리 이모삼촌들간만에 날씨가 좋아 엄빠랑 비치 놀러와쩌욤," 마루 안녕~~바람소리가 엄청나고 파도도 일케 높은데 마루는 거침없이 물속으로~~
마루 곱슬곱슬 털도 너무 이쁘구나😻 겨,,,, 겨,, 울인데도 첨벙첨벙😂
파도타고 수영해서 매번 놀랍니다 이야~~ 날씨 진짜 좋구나~속이다 시원한 이기분 ~~대.리.만.족송마루 오늘 신났네~~~ 해는 떴어도 겨울이라 추운데,,
마루는 생각이 다른가봅니다 ㅋ 와~ 바람 소리가 어마어마하네요!! 그래도 사진으로 보이는 풍경은 멋지네요~ 마루도 신나보이고^^ 바람도 파도도 쎄고, 
기온도 낮아서 추웠어요. 한분만빼고요 ㅋㅋㅋ겨울에도 수영하는 ㅋ 와~~~  정말 즐길줄아는 마루~
날씨 안가리는  물놀이 ㅋㅋㅋ
마루야~~  수영해서 구갈놀러와 ㅎㅎㅎㅎ 태평양건너 구갈 갈  작정이였나봅니다 ㅋㅋㅋ물냄새맡으면 눈돌아갑니다 ㅋㅋ 마루네 오랜만에 오셨네요..겨울바다 즐기는 마루.. 아주 멋져요.. 오랜만에 물또공또 신고하러 왔지요 ㅋㅋㅋ 아우~~~~ 풍경하고 마루하고 느므 멋집니당~^^ 멋진마루,  두시간놀고 모자랐는지 집에서도 또 공 물고왔어요ㅠ"
10,바다전망 대박 영종도 조개구이,지난 주말에 친구들과 더위를 식히고자 바다보러 영종도에 갔다가 소문 자자한 영종도 조개구이를 먹고 왔어요 퀄리티 훌륭한 조개구이와 랍스타에 신선한 해산물 향연이 매력인 곳인데 가격까지 부담없어서 공유해 볼게요, 조개구이에 칼국수까지 너무 맛나보이는 영종도 조개구이👍🏻👍🏻다음에 꼭 가봐야겠네요 ! 영종도 조개구이 멋진 바다뷰에 맛있는 음식들이 한가득~~넘 행복할것 같아요!! 영종도 조개구이 너무맛있어보이네요!! 싱싱해서 더맛있을거같아요!! 물회 양이 엄청 많네요 👍 조개구이도 너무 맛있어 보이고 영종도 조개구이 집 대박이에요ㅎㅎ 영종도 조개구이 맛집 음식 맛있어보이네요~나중에 방문해볼게요! 영종도 조개구이 너무 맛있어보이네요 ㅎㅎ 꼭 가보겠습니다 ㅎㅎ 영종도 조개구이 맛집 너무 맛있어보여요 ㅎㅎ 양도 많규 뷰도 좋고 ㅎㅎ 영종도 조개구이 너무 맛잇을 거같아요! 나중에 꼭 가봐야겠어요!
11,주말 한적한 강원도 바다,미개장한곳이라 그런지 사람도 별로 없고 한적하니애들 바다앞에서 모래놀이 하기 너무 좋네유날도덥지도않고ㅋㅋ흐리멍텅텅텅ㅋㅋㅋ덕분에 전 의자에 앉아 바다파도소리 들으며 멍커피한잔 하고 또 멍안전요원없구 샤워시설없구 암것도없지만ㅋㅋㅋ편의점도있고 식당도몇개있어서ㅋㅋ불편하진 않네요물은 좋아하는데 바다는 무서워하는 외갓집이 강원도인 우리애기들ㅜㅜㅋㅋㅋ모래놀이만 실컷하다 가야겠네요," 비 안오나봐요~휴가 끝나고 집에 가는중인데 원주쯤 비  많이 오네요 넵 아직비는안오는데 흐리멍텅해요 비가와서 더 막히는건아니신지ㅜㅜ조심히 도착하셔요:) 모래놀이 원없이 할 수 있어 좋겠어요~광영이 비가 부슬부슬 내리네요 엄마안찾아서 좋으네요ㅋㅋ헐 또비가오나요..증말 이번 여름은 비가 너무하네요ㅜㅜ 강원도 물에 들어가기 춥지는 않나요? ^^;; 저흰 휴가가 미뤄져서 아직도 못가서... 이러다가 애들 물에 한 번 못 들어가고 여름 끝나는건 아닌지 걱정이네요 ㅠㅠㅠ 다들 그래도 들어가있으면 미지근한지ㅋㅋ잘노시는것같아여ㅋㅋ 저희애들도..모래놀이만 하네여..ㅋㅋ 사람이 진짜 없네요..^^조심히 올라오세요.. 넵 강원도가시게되면 알려드릴께요 들려보셔요^^ 금진해변이신가봐여~~ 저 여기 연세얻어서 자주가욬ㅋㅋ 와우 어떻게 딱 아셨네요ㅋㅋㅋ우와 부러워요ㅜㅜ좋은데 잘얻으셨네요!! 이제 여기도 비가 막쏟아지네용ㅜㅜ 저 사진속에 연세멤버가 있는거같아요ㅋㅋㅋㅋㅋ 헉ㅋㅋㅋ서핑하시는분들중한분이신가보네요ㅋㅋㅋ순간 사람얼굴이 잘 보이는 사진이 있나 헉했네요ㅋㅋㅋ 아녀 수영복보고 알아챘어요 ㅋㅋㅋ 
진가락 맛있으니 꼭 드셔보세여~~ 항구마차, a3도 맛나구요^^ 오호!!!맛집감사해요♡♡♡ 얼마전에 삼척갔다왓는데 또 바다보니 가고 싶네요 요긴어딘가요? 윗분이 말씀하신곳이에요 금진해변이용 바다는 언제봐도 좋네요 한적해서 다음번 강원도여행시 참고해보셔요~^^"
